obs_ID,study_ID,year_pub,es,var
obs001,"Arnold, W., & Lichtenstein, A. V. 1993",1993,5.87E-02,0.119447868
obs002,Bordes et al. 2007,2007,-1.058156806,0.195603178
obs003,Bordes et al. 2007,2007,0.103757208,0.104146055
obs004,Brinkerhoff et al. 2006,2006,-0.446601252,0.494674301
obs005,"Brown, C. R., & Brown, M. B. 1986",1986,0.875444645,1.108801109
obs006,"Brown, C. R., & Brown, M. B. 1986",1986,0.416013364,0.17062715
obs007,"Brown, C. R., & Brown, M. B. 1986",1986,1.509271658,0.573923139
obs008,"Brown, C. R., & Brown, M. B. 1986",1986,0.948644832,1.153309006
obs009,"Brown, C. R., & Brown, M. B. 1986",1986,0.876353495,0.758514024
obs010,"Brown, C. R., & Brown, M. B. 1986",1986,0.210088463,0.260549954
obs011,"Brown, C. R., & Brown, M. B. 1986",1986,0.637222568,0.9886842
obs012,"Brown, C. R., & Brown, M. B. 2002",2002,0.798597168,0.169869337
obs013,"Brown, C. R., & Brown, M. B. 2002",2002,1.022356787,0.262867411
obs014,"Brown, C. R., & Brown, M. B. 2004 ",2004,2.786203934,1.024417366
obs015,Cappuccino 1988,1988,1.036172419,0.180013293
obs016,Cheeseman et al. 1981,1981,1.003992119,0.225566398
obs017,Clough et al. 2010,2010,-0.116021858,1.31958352
obs018,Clough et al. 2010,2010,6.87E-02,1.310841478
obs019,Clough et al. 2010,2010,5.72E-02,1.309395939
obs020,Clough et al. 2010,2010,1.14E-02,1.306253074
obs021,Clough et al. 2010,2010,0.373973974,1.445978982
obs022,"Cote, I. M., & Gross, M. R. 1993",1993,0.392745191,0.202958928
obs023,"Cote, I. M., & Gross, M. R. 1993",1993,-0.766934085,0.058589476
obs024,"Cote, I. M., & Gross, M. R. 1993",1993,0.407104738,0.01551819
obs025,"Cote, I. M., & Gross, M. R. 1993",1993,-1.96190456,0.345255492
obs026,"Cote, I. M., & Gross, M. R. 1993",1993,-1.083151442,0.266553949
obs027,"Cote, I. M., & Gross, M. R. 1993",1993,-1.269054269,0.146459081
obs028,"Davis, J. A., & Brown, C. R. 1999",1999,1.952946356,0.613104339
obs029,"Ezenwa, V. O.  et al. 2006",2006,-0.667315827,0.071290729
obs030,"Ezenwa, V. O.  et al. 2006",2006,-0.690674762,0.071810749
obs031,"Ezenwa, V. O.  et al. 2006",2006,-0.940991884,0.07850639
obs032,"Ezenwa, V. O.  et al. 2006",2006,-0.667315827,0.071290729
obs033,"Ezenwa, V. O.  et al. 2006",2006,-0.158564902,0.064402736
obs034,"Ezenwa, V. O.  et al. 2006",2006,-0.55401732,0.069022283
obs035,"Ezenwa, V. O. 2004",2004,,0
obs036,"Ezenwa, V. O. 2004",2004,2.947616021,1.34408047
obs037,"Ezenwa, V. O. 2004",2004,1.09567047,0.512086422
obs038,"Ezenwa, V. O. 2004",2004,-0.134724783,0.42022803
obs039,"Ezenwa, V. O. 2004",2004,0.256286381,0.385996304
obs040,"Ezenwa, V. O. 2004",2004,,0
obs041,"Ezenwa, V. O. 2004",2004,1.470018945,1.573651899
obs042,"Ezenwa, V. O. 2004",2004,1.475558201,0.620617337
obs043,"Ezenwa, V. O. 2004",2004,1.058124057,0.503101172
obs044,"Ezenwa, V. O. 2004",2004,0.142807599,0.420508435
obs045,"Ezenwa, V. O. 2004",2004,-0.438393277,0.400052521
obs046,"Ezenwa, V. O. 2004",2004,-1.030422374,0.294473807
obs047,"Ezenwa, V. O. 2004",2004,-0.269894801,0.173338829
obs048,"Ezenwa, V. O. 2004",2004,-0.53211275,0.182897955
obs049,"Ezenwa, V. O. 2004",2004,-0.520079336,0.182322434
obs050,"Ezenwa, V. O. 2004",2004,-0.208550335,0.17200474
obs051,"Ezenwa, V. O. 2004",2004,-0.914660945,0.585696011
obs052,"Ezenwa, V. O. 2004",2004,2.664339349,1.056003462
obs053,"Ezenwa, V. O. 2004",2004,-0.183283212,0.349492318
obs054,"Ezenwa, V. O. 2004",2004,1.52471015,0.578607149
obs055,"Ezenwa, V. O. 2004",2004,,0
obs056,"Ezenwa, V. O. 2004",2004,-0.368755,0.176208695
obs057,"Ezenwa, V. O. 2004",2004,0.274143658,0.148230772
obs058,"Ezenwa, V. O. 2004",2004,-8.11E-02,0.145593198
obs059,"Ezenwa, V. O. 2004",2004,-0.176961218,0.146544638
obs060,"Ezenwa, V. O. 2004",2004,0.209554439,0.147029168
obs061,"Ezenwa, V. O. 2004",2004,2.066242593,0.95162899
obs062,"Ezenwa, V. O. 2004",2004,,0
obs063,"Ezenwa, V. O. 2004",2004,2.248937051,1.050173916
obs064,"Ezenwa, V. O. 2004",2004,2.080609579,2.296312074
obs065,"Ezenwa, V. O. 2004",2004,-1.363621106,1.174006905
obs066,"Ezenwa, V. O. 2004",2004,1.363621106,1.174006905
obs067,"Ezenwa, V. O. 2004",2004,-0.351906181,0.740100764
obs068,Fenner and Bull 2008,2008,-0.046886534,0.130108636
obs069,Fenner and Bull 2008,2008,0.317265232,0.161857564
obs070,"Figuerola, J. 2000",2000,-0.358154732,0.060301554
obs071,"Figuerola, J. 2000",2000,0.571431362,0.063260643
obs072,Hillegass et al. 2008,2008,-0.30873939,0.248229195
obs073,Hillegass et al. 2008,2008,0.269319054,0.246710044
obs074,Hoogland and Sherman 1976,1976,1.224152781,0.273711625
obs075,Hoogland and Sherman 1976,1976,1.224152781,0.273711625
obs076,"Hoogland, J. L. 1979",1979,3.219766562,1.947166307
obs077,"Hoogland, J. L. 1979",1979,2.29812408,1.220663102
obs078,"Hoogland, J. L. 1979",1979,3.21541288,2.249895636
obs079,"Hoogland, J. L. 1979",1979,0.255131889,0.475479959
obs080,"Hoogland, J. L. 1979",1979,0.133205812,0.468715888
obs081,"Hoogland, J. L. 1979",1979,1.48E-02,0.526785659
obs082,"Hoogland, J. L. 1979",1979,0.76678071,0.050751651
obs083,"Hoogland, J. L. 1979",1979,5.96E-02,0.029781707
obs084,"Hoogland, J. L. 1979",1979,3.177124842,0.053649954
