obs_ID,study_ID,year_pub,es,var
obs062,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.115057419,0.679591743
obs063,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.386366223,0.755921484
obs064,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.173674273,0.401885172
obs065,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.109661128,0.67816688
obs066,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.547664348,0.418746015
obs067,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,2.458456059,0.777750387
obs068,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.088575763,0.400490354
obs069,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,0.553039863,0.087240574
obs070,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,1.473350207,0.10751131
obs071,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,0.093244238,0.084010589
obs072,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,-0.114266361,0.084058006
obs073,"Salinas, S., & Munch, S. B. 2012",2012,0.300801157,0.084316826
obs074,"Salinas, S., & Munch, S. B. 2012",2012,-0.061882933,0.083374958
obs075,"Salinas, S., & Munch, S. B. 2012",2012,1.011653187,0.094457705
obs076,"Salinas, S., & Munch, S. B. 2012",2012,2.69275458,0.16214776
obs077,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,-0.014263034,0.020000514
obs078,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,0.512339911,0.020662859
obs079,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,0.000907026,0.020000002
obs080,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,0.061757847,0.020009631
obs081,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs082,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs083,"Alekseev, V., & Lampert, W. 2001",2001,0.585152116,0.709467042
obs084,"Alekseev, V., & Lampert, W. 2001",2001,1.162502204,0.835593088
obs085,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs086,"Alekseev, V., & Lampert, W. 2001",2001,-3.471773094,2.173317719
obs087,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs088,"Alekseev, V., & Lampert, W. 2001",2001,0.857283748,0.758533595
obs089,"Steinger, T., Gall, R., & Schmid, B. 2000",2000,-0.010628207,0.083334561
obs090,"Steinger, T., Gall, R., & Schmid, B. 2000",2000,0.353562098,0.084692096
obs091,"LaMontagne, J. M., & McCauley, E. 2001",2001,-0.189842157,0.368668891
obs092,"LaMontagne, J. M., & McCauley, E. 2001",2001,2.886421415,0.82952381
obs093,"LaMontagne, J. M., & McCauley, E. 2001",2001,0.424264069,0.376666667
obs094,"LaMontagne, J. M., & McCauley, E. 2001",2001,-1.192569588,0.445679012
obs095,"LaMontagne, J. M., & McCauley, E. 2001",2001,1.629135241,0.514115646
obs096,"LaMontagne, J. M., & McCauley, E. 2001",2001,3.519334354,1.054761905
obs097,"LaMontagne, J. M., & McCauley, E. 2001",2001,0,0.366666667
obs098,"LaMontagne, J. M., & McCauley, E. 2001",2001,7.000357133,3.089166666
obs099,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.019233704,0.066669856
obs100,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.60724282,0.069845493
obs101,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,-0.191393932,0.066982457
obs102,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.349420066,0.067719204
obs103,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.190396121,0.066979173
obs104,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.0617336,0.06669952
obs105,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.986139048,0.075050031
obs106,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,-0.155202669,0.066874321
obs107,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,0.532628182,0.207880355
obs108,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,0.909571792,0.222981135
obs109,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,-0.053800609,0.200080403
obs110,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,0.900568438,0.222528431
obs111,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,0.069843868,0.200135505
obs112,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,0.732178128,0.214891245
obs113,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.302894017,0.12652908
obs114,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.817795223,0.136146484
obs115,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.327399308,0.126786505
obs116,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,1.188958449,0.14856037
obs117,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.130786375,0.008565362
obs118,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.029227705,0.008547925
obs119,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.256632451,0.010841688
obs120,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.278243337,0.010857309
obs121,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.366890136,0.010934591
obs122,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.27825964,0.010857321
obs123,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.666930951,0.265885603
obs124,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,2.145116052,0.414340103
obs125,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.632663461,0.264295109
obs126,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,1.635304266,0.345507859
obs127,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-0.163808061,0.250958324
obs128,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,1.06668,0.290635936
obs129,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.305236369,0.253327473
obs130,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,1.920496554,0.38172525
obs131,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.798960569,0.272797785
obs132,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-0.636085282,0.26445016
obs133,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.201804684,0.251454469
obs134,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-0.632306994,0.264279005
obs135,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.609081722,0.263249305
obs136,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-1.664607621,0.348961376
obs137,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.463478593,0.257671872
obs138,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-0.384341997,0.25527567
obs139,"Kyneb, A., & Toft, S. 2006",2006,0.067812406,0.050029478
obs140,"Kyneb, A., & Toft, S. 2006",2006,-0.031952042,0.050006544
obs141,"Kyneb, A., & Toft, S. 2006",2006,0.667018606,0.052852012
obs142,"Kyneb, A., & Toft, S. 2006",2006,-0.18395191,0.050216912
obs143,"Kyneb, A., & Toft, S. 2006",2006,0.285037581,0.05052081
obs144,"Kyneb, A., & Toft, S. 2006",2006,0.100553345,0.050064814
obs145,"Kyneb, A., & Toft, S. 2006",2006,-0.063994514,0.050026252
obs146,"Kyneb, A., & Toft, S. 2006",2006,1.087391657,0.057579619
obs147,"Gianoli, E. 2002",2002,-0.634208756,0.211172798
obs148,"Gianoli, E. 2002",2002,0.358222642,0.203564541
obs149,"Gianoli, E. 2002",2002,-0.180783581,0.200907853
obs150,"Gianoli, E. 2002",2002,0.868938236,0.220973713
obs151,"Gianoli, E. 2002",2002,1.739149257,0.284017782
obs152,"Gianoli, E. 2002",2002,-1.529499493,0.264982464
obs153,"Gianoli, E. 2002",2002,-0.420703162,0.204916421
obs154,"Gianoli, E. 2002",2002,0.573162826,0.209125434
obs155,"Gianoli, E. 2002",2002,-0.847494229,0.219951291
obs156,"Gianoli, E. 2002",2002,-0.805057998,0.218003288
obs157,"Gianoli, E. 2002",2002,-0.738117852,0.215133832
obs158,"Gianoli, E. 2002",2002,0.415314645,0.204791285
obs159," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.162426245,0.040134603
obs160," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.024344799,0.040003024
obs161," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.611304093,0.041906595
obs162," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.161570348,0.040133189
obs163," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-2.366641127,0.068576481
obs164," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.202988574,0.040210226
obs165," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.112670835,0.040064769
obs166," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.263694639,0.04035477
obs167," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.050459346,0.040012991
obs168," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.155891213,0.04012399
obs169," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-1.355500049,0.04937439
obs170," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.130804645,0.040087295
obs171," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.228664928,0.040266774
obs172," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.05247185,0.040014047
obs173," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.021292314,0.040002313
obs174," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.07582857,0.040029337
