obs_ID,study_ID,year_pub,es,var
obs001,Adams et al 2004,2004,-0.068,0.5
obs002,Albrecht & Reise 1994,1994,-0.2643,0.1874
obs003,Albrecht & Reise 1994,1994,-0.3006,0.1893
obs004,Altieri et al 2007,2007,0.152,0.1675
obs005,Altieri et al 2010,2010,0.2,0.167
obs006,Altieri et al 2010,2010,0.02,0.167
obs007,Angelini & Silliman 2014,2014,1.1279,0.4133
obs008,Angelini & Silliman 2014,2014,1.5143,0.5484
obs009,Angelini & Silliman 2014,2014,1.8757,0.1927
obs010,Angelini & Silliman 2014,2014,1.1923,0.4208
obs011,Angelini & Silliman 2014,2014,2.054,0.6309
obs012,Angelini & Silliman 2014,2014,1.3281,0.4791
obs013,Angelini & Silliman 2014,2014,1.1106,0.4063
obs014,Angelini & Silliman 2014,2014,3.4735,0.334
obs015,Angelini et al 2015,2015,4.545,0.895
obs016,Angelini et al 2015,2015,5.462,1.182
obs017,Angelini et al 2015,2015,5.637,1.243
obs018,Angelini et al 2015,2015,1.0198,1.0516
obs019,Angelini et al 2015,2015,2.655,0.47
obs020,Angelini et al 2015,2015,3.743,0.688
obs021,Angelini et al 2015,2015,5.649,1.247
obs022,Angelini et al 2015,2015,4.358,0.843
obs023,Angelini et al 2015,2015,5.283,1.122
obs024,Angelini et al 2015,2015,5.947,1.355
obs025,Angelini et al 2015,2015,3.762,0.692
obs026,Angelini et al 2015,2015,6.144,1.43
obs027,Angelini et al 2015,2015,7.657,2.082
obs028,Angelini et al 2015,2015,2.218,0.404
obs029,Angelini et al 2015,2015,2.07,0.384
obs030,Angelini et al 2015,2015,3.025,0.536
obs031,Angelini et al 2015,2015,2.4457,1.7399
obs032,Angelini et al 2015,2015,1.589,0.329
obs033,Angelini et al 2015,2015,3.494,0.631
obs034,Angelini et al 2015,2015,1.386,0.31
obs035,Angelini et al 2015,2015,1.742,0.345
obs036,Angelini et al 2015,2015,3.793,0.7
obs037,Angelini et al 2015,2015,1.642,0.334
obs038,Angelini et al 2015,2015,2.779,0.491
obs039,Angelini et al 2015,2015,2.432,0.435
obs040,Angelini et al 2015,2015,2.526,0.449
obs041,Armitage & Sjotun 2016,2016,0.8026,0.5022
obs042,Armitage & Sjotun 2016,2016,1.5193,0.5625
obs043,Arroyo et al 2013,2013,0.005,0.696
obs044,Arroyo et al 2013,2013,0.1972,0.765
obs045,Arroyo et al 2013,2013,0.1911,0.7161
obs046,Arroyo et al 2013,2013,0.3799,0.7099
obs047,Arroyo et al 2013,2013,0.418,0.7118
obs048,Arroyo et al 2013,2013,1.2319,0.9358
obs049,Arroyo et al 2013,2013,0.249,0.672
obs050,Arroyo et al 2013,2013,0.3,0.674
obs051,Arroyo et al 2013,2013,2.587,1.224
obs052,Arroyo et al 2013,2013,-0.486,0.686
obs053,Arroyo et al 2013,2013,0.133,0.668
obs054,Arroyo et al 2013,2013,0.454,0.684
obs055,Bell et al. 2014,2014,0.939,0.044
obs056,Bell et al. 2014,2014,1.026,0.2275
obs057,Bennetts et al 1996,1996,0.169,0.022
obs058,Bennetts et al 1996,1996,0.2027,0.022
obs059,Bishop et al 2009,2009,1.665,0.135
obs060,Bishop et al 2009,2009,1.343,0.3213
obs061,Bishop et al 2009,2009,4.1469,0.551
obs062,Bishop et al 2009,2009,3.977,0.298
