obs_ID,study_ID,year_pub,es,var
obs001,Alvarez et al. 2001,2001,-0.08,0.19
obs002,Batáry et al. 2008 unpubl.,,1.59,0.2
obs003,Batáry et al. 2010,2010,1.1,0.2
obs004,Batáry et al. 2008 unpubl.,,1.14,0.2
obs005,Batáry et al. 2008 unpubl.,,3,0.2
obs006,Bos et al. 2007,2007,-0.03,0.5
obs007,Bos et al. 2007,2007,-0.5,0.5
obs008,Bos et al. 2007,2007,-0.08,0.5
obs009,Bos et al. 2007,2007,-0.48,0.5
obs010,Cedarbaum et al. 2004,2004,1.21,0.29
obs011,Cedarbaum et al. 2004,2004,-0.04,0.29
obs012,Cedarbaum et al. 2004,2004,0.28,0.29
obs013,Davy et al. 2007,2007,0.47,0.33
obs014,Drinkwater et al. 1995,1995,0.41,0.13
obs015,Drinkwater et al. 1995,1995,0.3,0.13
obs016,Feber et al. 1998,1998,0.62,0.22
obs017,Genghini et al. 2006,2006,0.66,0.11
obs018,Hassal et al. 1992,1992,0.17,0.83
obs019,Hassal et al. 1992,1992,2.21,0.83
obs020,Hassal et al. 1992,1992,0.89,0.83
obs021,Holzschuh et al. 2007,2007,1.19,0.11
obs022,Irmler 2003,2003,0.05,0.24
obs023,Kleijn et al. 2006,2006,2.87,0.11
obs024,Kleijn et al. 2006,2006,0.71,0.11
obs025,Kleijn et al. 2006,2006,0.12,0.11
obs026,Kleijn et al. 2006,2006,0.73,0.13
obs027,Kleijn et al. 2006,2006,0.08,0.12
obs028,Kleijn et al. 2006,2006,0.32,0.12
obs029,Kleijn et al. 2006,2006,0.88,0.1
obs030,Kleijn et al. 2006,2006,0.52,0.1
obs031,Kleijn et al. 2006,2006,0.07,0.1
obs032,Kleijn et al. 2006,2006,0.05,0.11
obs033,Kleijn et al. 2006,2006,0.64,0.1
obs034,Kleijn et al. 2006,2006,-0.01,0.1
obs035,Koss et al. 2005,2005,1.03,0.4
obs036,Koss et al. 2005,2005,0.88,0.4
obs037,Koss et al. 2005,2005,1.53,0.4
obs038,Kragten & de Snoo 2008,2008,0.15,0.1
obs039,Kremen et al. 2002,2002,0.24,0.45
obs040,Letourneu & Goldstein 2001,2001,0.06,0.22
obs041,Letourneu & Goldstein 2001,2001,0.8,0.22
obs042,Morandin & Winston 2005,2005,1.69,0.5
obs043,Moreby 1996,1996,0.23,0.06
obs044,Moreby et al. 1994,1994,0.52,0.06
obs045,Moreby et al. 1994,1994,0.02,0.06
obs046,Moreby et al. 1994,1994,-1.15,0.06
obs047,Moreby et al. 1994,1994,0.87,0.06
obs048,Moreby et al. 1994,1994,-0.7,0.06
obs049,Moreby et al. 1994,1994,-0.35,0.06
obs050,Moreby et al. 1994,1994,-0.7,0.06
obs051,Pfiffner & Luka 2007,2007,1.9,0.17
obs052,Romero et al. 2008,2008,1.6,0.11
obs053,Rundlöf & Smith 2006,2006,0.56,0.33
obs054,Rundlöf & Smith 2006,2006,2.09,0.33
obs055,Rundlöf et al. 2008a,2008,3.35,0.25
obs056,Rundlöf et al. 2008b,2008,0.3,0.33
obs057,Rundlöf et al. 2008b,2008,2.48,0.33
obs058,Schmidt et al. 2005,2005,0.87,0.17
obs059,Sepp et al. 2005,2005,0.09,0.3
obs060,Sepp et al. 2005,2005,-0.01,0.3
obs061,Shah et al. 2003,2003,5.55,0.2
obs062,Shah et al. 2003,2003,-0.32,0.2
obs063,Verhulst et al. 2004,2004,1.32,0.09
obs064,Zalazar & Salvo 2007,2007,2.61,0.67
obs065,Zalazar & Salvo 2007,2007,0.79,0.67
obs066,Zalazar & Salvo 2007,2007,-0.39,0.67
obs067,Zalazar & Salvo 2007,2007,1.52,0.67
obs068,Zalazar & Salvo 2007,2007,0.77,0.67
obs069,Albrecht et al. 2007,2007,0.23,0.15
obs070,Albrecht et al. 2007,2007,0.98,0.15
obs071,Báldi et al. 2007,2007,1.13,0.1
obs072,Báldi et al. 2007,2007,-0.16,0.1
obs073,Báldi et al. 2007,2007,-1.27,0.1
obs074,Báldi et al. 2007,2007,1.83,0.1
obs075,Batáry et al. 2007a,2007,0.91,0.1
obs076,Batáry et al. 2007b,2007,-1.68,0.1
obs077,Batáry et al. 2007b,2007,0.14,0.1
obs078,Batáry et al. 2007b,2007,-0.79,0.1
