obs_ID,study_ID,year_pub,es,var
obs079,Batáry et al. 2007c,2007,5.6,0.1
obs080,Batáry et al. 2008,2008,0.42,0.1
obs081,Batáry et al. 2010,2010,0.34,0.2
obs082,Batáry et al. 2008 unpubl.,,-0.45,0.2
obs083,Batáry et al. 2008 unpubl.,,0.07,0.22
obs084,Batáry et al. 2008 unpubl.,,0.9,0.2
obs085,Batáry et al. 2008 unpubl.,,-0.4,0.2
obs086,Ekroos et al. 2008,2008,-0.09,0.09
obs087,Ekroos et al. 2008,2008,0.34,0.09
obs088,Hutton & Giller 2003,2003,1.03,0.5
obs089,Kleijn & van Zuijlen 2004,2004,0.38,0.14
obs090,Kleijn et al. 2004,2004,-0.07,0.1
obs091,Kleijn et al. 2006,2006,0.87,0.1
obs092,Kleijn et al. 2006,2006,0.53,0.1
obs093,Kleijn et al. 2006,2006,-0.25,0.1
obs094,Kleijn et al. 2006,2006,0.52,0.1
obs095,Kleijn et al. 2006,2006,-0.21,0.1
obs096,Kleijn et al. 2006,2006,0.22,0.1
obs097,Kohler et al. 2007,2007,-0.45,0.1
obs098,Kohler et al. 2007,2007,0.06,0.13
obs099,Kruess & Tscharntke 2002a,2002,2.4,0.33
obs100,Kruess & Tscharntke 2002a,2002,1.07,0.33
obs101,Kruess & Tscharntke 2002a,2002,0.32,0.33
obs102,Kruess & Tscharntke 2002a,2002,1.36,0.33
obs103,Marshall et al. 2006,2006,1.47,0.1
obs104,Petersen et al. 2006,2006,1.56,0.1
obs105,Sjödin et al. 2008,2008,0.48,0.25
obs106,Sjödin et al. 2008,2008,0.01,0.25
obs107,Sjödin et al. 2008,2008,0.44,0.25
obs108,Sjödin et al. 2008,2008,0.34,0.25
obs109,Verhulst et al. 2004,2004,1.29,0.09
obs110,Verhulst et al. 2007,2007,0.48,0.11
obs111,Yeast et al. 1997,1997,3.18,0.67
obs112,Yeast et al. 1997,1997,1.67,0.67
obs113,Yeast et al. 1997,1997,2,0.67
obs114,Yeast et al. 1997,1997,-1.54,0.67
