obs_ID,study_ID,year_pub,es,var
obs001,Albert et al.,2003,0.26437254,0.027938935
obs002,Albert et al.,2003,0.417028828,0.029022479
obs003,Albert et al.,2003,0.446258583,0.029285329
obs004,Albert et al.,2003,0.03242882,0.027221839
obs005,Albert et al.,2003,0.037487252,0.027225523
obs006,Albert et al.,2003,0.610240714,0.031089986
obs007,Albert et al.,2003,0.214392938,0.008860697
obs008,Bang et al.,2003,-0.250190779,0.034962688
obs009,Berbec,1994,1.504873294,0.198444346
obs010,Berbec,1994,1.647597254,0.27959023
obs011,Berbec,1994,1.886939571,0.230841779
obs012,Berbec,1994,2.032036613,0.326743433
obs013,Berbec,1994,2.041189931,0.327986218
obs014,Berbec,1994,2.178489703,0.347298253
obs015,Berbec,1994,2.242562929,0.356740623
obs016,Berbec,1994,2.28832952,0.363652739
obs017,Berbec,1994,2.346978558,0.279535964
obs018,Berbec,1994,3.469107552,0.590261247
obs019,Berbec,1994,0.89668616,0.161929407
obs020,Berbec,1994,1.528604119,0.266992025
obs021,Berbec,1994,1.986270023,0.320613293
obs022,Berbec,1994,2.443935927,0.388198434
obs023,Chatelain et al.,2011,-7.89497194,2.810440914
obs024,Chatelain et al.,2011,-5.078362555,1.287906927
obs025,Chatelain et al.,2011,-3.616865625,0.758404873
obs026,Chatelain et al.,2011,-2.725342942,0.522812256
obs027,Chatelain et al.,2011,-2.509989056,0.475835211
obs028,Chatelain et al.,2011,-2.34726792,0.442902779
obs029,Chatelain et al.,2011,-1.840074109,0.354411364
obs030,Chatelain et al.,2011,-1.661799898,0.328399121
obs031,Chatelain et al.,2011,-1.539361597,0.312068089
obs032,Chatelain et al.,2011,-1.465712637,0.302846397
obs033,Chatelain et al.,2011,-1.190144436,0.272351824
obs034,Chatelain et al.,2011,-1.061192816,0.260255425
obs035,Chatelain et al.,2011,-0.867154837,0.244664896
obs036,Chatelain et al.,2011,-0.847964967,0.243293524
obs037,Chatelain et al.,2011,-0.843749024,0.242996351
obs038,Chatelain et al.,2011,-0.823120041,0.241563608
obs039,Chatelain et al.,2011,-0.806314289,0.240422614
obs040,Chatelain et al.,2011,-0.723067653,0.235117785
obs041,Chatelain et al.,2011,-0.716505574,0.234724177
obs042,Chatelain et al.,2011,-0.4750526,0.222736457
obs043,Chatelain et al.,2011,-0.304934073,0.2172077
obs044,Chatelain et al.,2011,-0.252332774,0.215986326
obs045,Chatelain et al.,2011,-0.150546304,0.214277675
obs046,Chatelain et al.,2011,-0.077576485,0.213584088
obs047,Chatelain et al.,2011,-0.07600429,0.213574027
obs048,Chatelain et al.,2011,-0.074569687,0.213565027
obs049,Chatelain et al.,2011,-0.049851169,0.213436881
obs050,Chatelain et al.,2011,-0.044336511,0.213415239
obs051,Chatelain et al.,2011,-0.038783978,0.213396008
obs052,Chatelain et al.,2011,-0.033250056,0.213379399
obs053,Chatelain et al.,2011,-0.027711705,0.213365331
obs054,Chatelain et al.,2011,-0.027699244,0.213365302
obs055,Chatelain et al.,2011,-0.022170029,0.213353813
obs056,Chatelain et al.,2011,-0.022169364,0.213353812
obs057,Chatelain et al.,2011,-0.016627023,0.213344852
obs058,Chatelain et al.,2011,-0.016626192,0.213344851
obs059,Chatelain et al.,2011,-0.016623532,0.213344848
obs060,Chatelain et al.,2011,-0.016621705,0.213344845
obs061,Chatelain et al.,2011,-0.011084682,0.213338453
obs062,Chatelain et al.,2011,-0.011083352,0.213338452
obs063,Chatelain et al.,2011,-0.011081137,0.21333845
obs064,Chatelain et al.,2011,-0.011079697,0.213338448
obs065,Chatelain et al.,2011,-0.005542341,0.213334613
obs066,Chatelain et al.,2011,0,0.213333333
obs067,Chatelain et al.,2011,0,0.213333333
obs068,Chatelain et al.,2011,0,0.213333333
obs069,Chatelain et al.,2011,0,0.213333333
obs070,Chatelain et al.,2011,0,0.213333333
obs071,Chatelain et al.,2011,0,0.213333333
obs072,Chatelain et al.,2011,0.005542341,0.213334613
obs073,Chatelain et al.,2011,0.005542341,0.213334613
obs074,Chatelain et al.,2011,0.005542507,0.213334613
obs075,Chatelain et al.,2011,0.011085014,0.213338453
obs076,Chatelain et al.,2011,0.022169364,0.213353812
obs077,Chatelain et al.,2011,0.022169364,0.213353812
obs078,Chatelain et al.,2011,0.025504192,0.213360436
obs079,Chatelain et al.,2011,0.027710319,0.213365328
