obs_ID,study_ID,year_pub,es,var
obs001,Wu L.: Bradshaw A.D.,1972,0.337310245,0.000121864
obs002,Wu L.: Bradshaw A.D.,1972,0.119600643,0.000010908
obs003,Lin Wu: Bradshaw A.D.: Thurman D.A.,1975,0.429078444,0.005795849
obs004,Lin Wu: Bradshaw A.D.: Thurman D.A.,1975,0.328243516,0.002030233
obs005,Lin Wu: Bradshaw A.D.: Thurman D.A.,1975,0.240831239,0.000868489
obs006,Lin Wu: Bradshaw A.D.: Thurman D.A.,1975,0.045901603,0.00003225
obs007,Lin Wu: Bradshaw A.D.: Thurman D.A.,1975,0.537343434,0.009730303
obs008,Snaydon R.W.: Davies T.M.,1982,0.342575248,0.026822697
obs009,Snaydon R.W.: Davies T.M.,1982,0.119475622,0.015462049
obs010,Wilson G.B.: Bell J.N.B.,1986,0.113083691,0.000116489
obs011,Wilson G.B.: Bell J.N.B.,1986,0.012967746,2.16E-05
obs012,Wilson G.B.: Bell J.N.B.,1986,0.055140399,4.32E-05
obs013,Wilson G.B.: Bell J.N.B.,1986,0.02946099,2.69E-05
obs014,Wilson G.B.: Bell J.N.B.,1986,0.060043167,4.74E-05
obs015,Gorla M.S.: Ottaviano E.: Frascaroli E.: Landi P.,1989,1.068018813,0.015256878
obs016,Gorla M.S.: Ottaviano E.: Frascaroli E.: Landi P.,1989,1.325675253,0.016296927
obs017,Gorla M.S.: Ottaviano E.: Frascaroli E.: Landi P.,1989,0.681955929,0.005880094
obs018,Gorla M.S.: Ottaviano E.: Frascaroli E.: Landi P.,1989,0.153342988,0.005571965
obs019,Till-Bottraud I.: Lin Wu: Harding J.,1990,0.017745223,0.000601652
obs020,Till-Bottraud I.: Lin Wu: Harding J.,1990,0.003697705,0.000585829
obs021,Till-Bottraud I.: Lin Wu: Harding J.,1990,0.040072215,0.00066946
obs022,Till-Bottraud I.: Lin Wu: Harding J.,1990,0.012995484,0.000593982
obs023,Agrawal A.A.: Laforsch C.: Tollrian R.,1999,0.38817815,0.070347837
obs024,Agrawal A.A.: Laforsch C.: Tollrian R.,1999,0.253647301,0.069555728
obs025,Agrawal A.A.: Laforsch C.: Tollrian R.,1999,0.119672126,0.069096898
obs026,Franks S.J.: Sim S.: Weis A.E.,2007,0.105636124,0.000436558
obs027,Franks S.J.: Sim S.: Weis A.E.,2007,0.143137965,0.000460297
obs028,Franks S.J.: Sim S.: Weis A.E.,2007,0.026023375,0.000409887
obs029,Franks S.J.: Sim S.: Weis A.E.,2007,0.029444552,0.000410369
obs030,Franks S.J.: Sim S.: Weis A.E.,2007,0.101043977,0.000307338
obs031,Franks S.J.: Sim S.: Weis A.E.,2007,0,0.001379918
obs032,Leger E.A.: Rice K.J.,2007,0.000638498,9.38E-06
obs033,Leger E.A.: Rice K.J.,2007,0.000824297,9.40E-06
obs034,Leger E.A.: Rice K.J.,2007,0.009980462,1.51E-05
obs035,Leger E.A.: Rice K.J.,2007,0.010413587,3.45E-05
obs036,Leger E.A.: Rice K.J.,2007,0.004663377,0.000022715
obs037,Leger E.A.: Rice K.J.,2007,0.001889033,2.02E-05
obs038,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.005849453,5.63E-06
obs039,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.001633812,5.13E-06
obs040,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.003462336,5.27E-06
obs041,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.001869334,0.000005139
obs042,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.003212607,6.34E-06
obs043,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.007491786,7.24E-06
obs044,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.002593443,6.27E-06
obs045,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.003074266,6.32E-06
obs046,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.027787965,6.05E-05
obs047,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.018691557,3.31E-05
obs048,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.019369416,3.48E-05
obs049,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.008757962,1.76E-05
obs050,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.004117122,0.000013116
obs051,Maron J.L.: Elmendorf S.C.: Vila M.,2007,0.003711124,0.000012879
